date,portfolio_value,cash
2011-07-07,100000.0,15000.0
2011-07-08,99022.67008610524,14853.400512915785
2011-07-11,98518.39511658924,14777.759267488385
2011-07-12,97217.07640312552,14582.561460468829
2011-07-13,97217.07640312552,14582.561460468829
2011-07-15,97619.45332173804,14642.917998260706
2011-07-18,97296.3739212726,14594.456088190891
2011-07-19,98238.87657162602,14735.831485743904
2011-07-20,97532.59605776687,14629.88940866503
2011-07-21,96733.85742030384,14510.078613045576
2011-07-22,96733.85742030384,14510.078613045576
2011-07-25,97848.5303294471,14677.279549417064
2011-07-26,96391.94997097364,14458.792495646047
2011-07-27,96807.73471040744,14521.160206561117
2011-07-28,96807.73471040744,14521.160206561117
2011-07-29,96807.73471040744,14521.160206561117
2011-08-01,96807.73471040744,14521.160206561117
2011-08-02,96807.73471040744,14521.160206561117
2011-08-03,96807.73471040744,14521.160206561117
2011-08-04,96807.73471040744,14521.160206561117
2011-08-05,96807.73471040744,14521.160206561117
2011-08-08,96807.73471040744,14521.160206561117
2011-08-09,96807.73471040744,14521.160206561117
2011-08-10,96807.73471040744,14521.160206561117
2011-08-11,96807.73471040744,14521.160206561117
2011-08-12,96807.73471040744,14521.160206561117
2011-08-16,96807.73471040744,14521.160206561117
2011-08-17,96807.73471040744,14521.160206561117
2011-08-18,96807.73471040744,14521.160206561117
2011-08-19,96807.73471040744,14521.160206561117
2011-08-22,96807.73471040744,14521.160206561117
2011-08-23,96807.73471040744,14521.160206561117
2011-08-24,96807.73471040744,14521.160206561117
2011-08-25,96807.73471040744,14521.160206561117
2011-08-26,96807.73471040744,14521.160206561117
2011-08-29,96807.73471040744,14521.160206561117
2011-08-30,96807.73471040744,14521.160206561117
2011-09-02,96807.73471040744,14521.160206561117
2011-09-05,96807.73471040744,14521.160206561117
2011-09-06,96807.73471040744,14521.160206561117
2011-09-07,96807.73471040744,14521.160206561117
2011-09-08,96807.73471040744,14521.160206561117
2011-09-09,96807.73471040744,14521.160206561117
2011-09-12,96807.73471040744,14521.160206561117
2011-09-13,96807.73471040744,14521.160206561117
2011-09-14,96807.73471040744,14521.160206561117
