date,ticker,action,shares,price,value,reason
2026-07-04,RELIANCE.NS,BUY,1.9916,1304.0,2599.6,Rebalance to target weight=0.026
2026-07-04,TCS.NS,BUY,1.2391,2093.5,2596.61,Rebalance to target weight=0.026
2026-07-04,HDFCBANK.NS,BUY,3.3307,801.05,2670.73,Rebalance to target weight=0.027
2026-07-04,HINDUNILVR.NS,BUY,1.1562,2201.2,2547.59,Rebalance to target weight=0.025
2026-07-04,MARUTI.NS,BUY,0.1809,14366.0,2600.75,Rebalance to target weight=0.026
2026-07-04,SUNPHARMA.NS,BUY,1.3466,1904.8,2567.49,Rebalance to target weight=0.026
2026-07-04,LT.NS,BUY,0.6842,4026.6,2757.65,Rebalance to target weight=0.028
2026-07-04,TATASTEEL.NS,BUY,13.7494,189.8,2612.25,Rebalance to target weight=0.026
2026-07-04,ULTRACEMCO.NS,BUY,0.2182,11723.0,2560.24,Rebalance to target weight=0.026
2026-07-04,BHARTIARTL.NS,BUY,1.3436,1910.4,2569.29,Rebalance to target weight=0.026
2026-07-04,NTPC.NS,BUY,7.1874,356.45,2564.52,Rebalance to target weight=0.026
2026-07-04,DLF.NS,BUY,3.8601,675.9,2611.69,Rebalance to target weight=0.026
2026-07-04,BEL.NS,BUY,6.1646,418.05,2579.68,Rebalance to target weight=0.026
2026-07-04,TRENT.NS,BUY,0.8528,3340.6,2851.68,Rebalance to target weight=0.029
2026-07-04,PIDILITIND.NS,BUY,1.6635,1598.0,2660.9,Rebalance to target weight=0.027
2026-07-04,HAL.NS,BUY,0.5901,4428.9,2615.9,Rebalance to target weight=0.026
2026-07-04,TITAN.NS,BUY,0.587,4461.1,2621.24,Rebalance to target weight=0.026
2026-07-04,COALINDIA.NS,BUY,5.9331,438.7,2605.45,Rebalance to target weight=0.026
2026-07-04,CONCOR.NS,BUY,5.2687,488.2,2574.77,Rebalance to target weight=0.026
2026-07-04,DIXON.NS,BUY,0.2109,12456.0,2629.39,Rebalance to target weight=0.026
2026-07-04,SBIN.NS,BUY,2.5139,1040.0,2617.11,Rebalance to target weight=0.026
2026-07-04,INDIGO.NS,BUY,0.5276,5426.5,2866.08,Rebalance to target weight=0.029
2026-07-04,BPCL.NS,BUY,8.6971,308.15,2682.68,Rebalance to target weight=0.027
2026-07-04,IREDA.NS,BUY,20.4833,128.49,2634.54,Rebalance to target weight=0.026
2026-07-04,APOLLOHOSP.NS,BUY,0.2835,8893.5,2523.66,Rebalance to target weight=0.025
2026-07-04,POLYCAB.NS,BUY,0.2817,9548.5,2692.84,Rebalance to target weight=0.027
2026-07-04,LALPATHLAB.NS,BUY,1.6188,1645.7,2666.66,Rebalance to target weight=0.027
2026-07-04,VOLTAS.NS,BUY,2.0778,1280.2,2662.67,Rebalance to target weight=0.027
2026-07-04,ICICIBANK.NS,BUY,1.8628,1411.4,2631.86,Rebalance to target weight=0.026
2026-07-04,M&M.NS,BUY,0.8255,3136.9,2592.18,Rebalance to target weight=0.026
2026-07-04,JSWSTEEL.NS,BUY,2.1304,1230.2,2623.38,Rebalance to target weight=0.026
2026-07-04,ADANIENT.NS,BUY,0.7977,3212.1,2564.83,Rebalance to target weight=0.026
2026-07-04,MUTHOOTFIN.NS,BUY,0.8601,3054.9,2630.08,Rebalance to target weight=0.026
2026-07-04,PAGEIND.NS,BUY,0.062,42800.0,2657.83,Rebalance to target weight=0.027
2026-07-04,CIPLA.NS,BUY,1.8092,1458.2,2640.83,Rebalance to target weight=0.026
2026-07-04,BRITANNIA.NS,BUY,0.4673,5379.0,2516.39,Rebalance to target weight=0.025
2026-07-04,AUBANK.NS,BUY,2.4985,1058.4,2647.02,Rebalance to target weight=0.026
2026-07-04,TATACOMM.NS,BUY,1.4418,1906.7,2751.9,Rebalance to target weight=0.028
