date,ticker,action,shares,price,value,reason
2026-07-05,HDFCBANK.NS,BUY,2,801.05,1602.1,ML Rebalance to target weight=0.016
2026-07-05,TRENT.NS,BUY,4,3340.6,13362.4,ML Rebalance to target weight=0.150
2026-07-05,SBIN.NS,BUY,1,1040.0,1040.0,ML Rebalance to target weight=0.019
2026-07-05,INDIGO.NS,BUY,2,5426.5,10853.0,ML Rebalance to target weight=0.150
2026-07-05,BPCL.NS,BUY,8,308.15,2465.2,ML Rebalance to target weight=0.027
2026-07-05,IREDA.NS,BUY,12,128.49,1541.88,ML Rebalance to target weight=0.015
2026-07-05,VOLTAS.NS,BUY,4,1280.2,5120.8,ML Rebalance to target weight=0.055
2026-07-05,ADANIENT.NS,BUY,4,3212.1,12848.4,ML Rebalance to target weight=0.150
2026-07-05,CIPLA.NS,BUY,1,1458.2,1458.2,ML Rebalance to target weight=0.019
2026-07-05,AUBANK.NS,BUY,1,1058.4,1058.4,ML Rebalance to target weight=0.016
2026-07-05,TATACOMM.NS,BUY,7,1906.7,13346.9,ML Rebalance to target weight=0.150
2026-07-06,HDFCBANK.NS,SELL,1,829.85,829.85,ML Rebalance to target weight=0.014
2026-07-06,IREDA.NS,SELL,2,126.74,253.48,ML Rebalance to target weight=0.014
2026-07-06,VOLTAS.NS,SELL,2,1284.5,2569.0,ML Rebalance to target weight=0.038
2026-07-06,NTPC.NS,BUY,3,356.25,1068.75,ML Rebalance to target weight=0.012
2026-07-06,DLF.NS,BUY,2,673.3,1346.6,ML Rebalance to target weight=0.019
2026-07-06,BPCL.NS,BUY,1,308.15,308.15,ML Rebalance to target weight=0.029
2026-07-07,TRENT.NS,SELL,2,2927.8,5855.6,ML Rebalance to target weight=0.075
2026-07-07,AUBANK.NS,SELL,1,1066.9,1066.9,ML Rebalance to target weight=0.000
2026-07-07,HDFCBANK.NS,BUY,1,829.3,829.3,ML Rebalance to target weight=0.017
2026-07-07,NTPC.NS,BUY,1,354.2,354.2,ML Rebalance to target weight=0.016
2026-07-07,DLF.NS,BUY,4,651.1,2604.4,ML Rebalance to target weight=0.042
2026-07-07,IREDA.NS,BUY,4,125.16,500.64,ML Rebalance to target weight=0.019
2026-07-08,HDFCBANK.NS,SELL,2,810.3,1619.79,Nifty EMA-50 Circuit Breaker
2026-07-08,TRENT.NS,SELL,2,2924.0,5845.08,Nifty EMA-50 Circuit Breaker
2026-07-08,SBIN.NS,SELL,1,1016.9,1016.39,Nifty EMA-50 Circuit Breaker
2026-07-08,INDIGO.NS,SELL,2,5124.0,10242.88,Nifty EMA-50 Circuit Breaker
2026-07-08,BPCL.NS,SELL,9,303.55,2730.58,Nifty EMA-50 Circuit Breaker
2026-07-08,IREDA.NS,SELL,14,121.17,1695.53,Nifty EMA-50 Circuit Breaker
2026-07-08,VOLTAS.NS,SELL,2,1253.6,2505.95,Nifty EMA-50 Circuit Breaker
2026-07-08,ADANIENT.NS,SELL,4,3046.9,12181.51,Nifty EMA-50 Circuit Breaker
2026-07-08,CIPLA.NS,SELL,1,1431.8,1431.08,Nifty EMA-50 Circuit Breaker
2026-07-08,TATACOMM.NS,SELL,7,1886.2,13196.8,Nifty EMA-50 Circuit Breaker
2026-07-08,NTPC.NS,SELL,4,348.7,1394.1,Nifty EMA-50 Circuit Breaker
2026-07-08,DLF.NS,SELL,6,634.0,3802.1,Nifty EMA-50 Circuit Breaker
