date,ticker,action,shares,price,value,reason
2026-07-13,BAJFINANCE.NS,SELL,16,1022.6,16361.6,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-13,MAXHEALTH.NS,SELL,15,1106.2,16593.0,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-13,GRASIM.NS,BUY,5,3144.3,15721.5,V5 Satellite Rebalance: hybrid momentum entry
2026-07-13,COFORGE.NS,BUY,10,1540.9,15409.0,V5 Satellite Rebalance: hybrid momentum entry
2026-07-14,HDFCBANK.NS,SELL,20,809.4,16188.0,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-14,BHARTIARTL.NS,BUY,8,1936.5,15492.0,V5 Satellite Rebalance: hybrid momentum entry
2026-07-15,GRASIM.NS,SELL,5,3086.1,15430.5,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-15,BHARTIARTL.NS,SELL,8,1918.3,15346.4,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-15,SUNPHARMA.NS,BUY,8,1951.5,15612.0,V5 Satellite Rebalance: hybrid momentum entry
2026-07-15,BAJFINANCE.NS,BUY,16,1021.3,16340.8,V5 Satellite Rebalance: hybrid momentum entry
2026-07-17,SUNPHARMA.NS,SELL,8,1932.6,15460.8,V5 Satellite Rebalance: dropped from hybrid top momentum
2026-07-17,SBIN.NS,BUY,16,1044.3,16708.8,V5 Satellite Rebalance: hybrid momentum entry
2026-07-17,COFORGE.NS,BUY,1,1508.4,1508.4,V5 Satellite Rebalance: hybrid momentum entry
