date,ticker,action,shares,price,value,reason
2026-07-13,SBIN.NS,SELL,19,1037.0,19703.0,V5 Satellite Rebalance: dropped from top momentum
2026-07-13,GRASIM.NS,BUY,6,3144.3,18865.8,V5 Satellite Rebalance: top momentum entry
2026-07-14,BAJFINANCE.NS,SELL,19,1006.6,19125.4,V5 Satellite Rebalance: dropped from top momentum
2026-07-14,BHARTIARTL.NS,BUY,10,1936.5,19365.0,V5 Satellite Rebalance: top momentum entry
2026-07-15,HDFCBANK.NS,SELL,24,815.45,19570.8,V5 Satellite Rebalance: dropped from top momentum
2026-07-15,BAJFINANCE.NS,BUY,19,1021.3,19404.7,V5 Satellite Rebalance: top momentum entry
2026-07-16,GRASIM.NS,SELL,6,3072.9,18437.4,V5 Satellite Rebalance: dropped from top momentum
2026-07-16,HDFCBANK.NS,BUY,24,808.3,19399.2,V5 Satellite Rebalance: top momentum entry
2026-07-17,SUNPHARMA.NS,SELL,10,1932.6,19326.0,V5 Satellite Rebalance: dropped from top momentum
2026-07-17,SBIN.NS,BUY,19,1044.3,19841.7,V5 Satellite Rebalance: top momentum entry
2026-07-20,HDFCBANK.NS,SELL,24,777.6,18662.4,V5 Satellite Rebalance: dropped from top momentum
2026-07-20,GRASIM.NS,BUY,6,3143.8,18862.8,V5 Satellite Rebalance: top momentum entry
