,style,entry_window,atr_mult,nifty_regime,max_cap,Final_Value,CAGR,Max_DD,Sharpe,Sortino,Win_Rate,Total_Trades
87,swing,50,5.0,EMA_50,4.0,42914021.783446565,1.3787192949123739,-0.6722777223426697,1.6785143502187234,2.3981998012006613,0.7272727272727273,22
86,swing,50,5.0,EMA_50,3.0,15629808.257729944,1.0589064901223373,-0.5696587675648603,1.6157445205143566,2.2849711879796972,0.7272727272727273,22
39,swing,20,5.0,EMA_50,4.0,15397555.311187774,1.0545047362716633,-0.6722820997503666,1.3173171387767932,1.8532909298515154,0.6666666666666666,21
38,swing,20,5.0,EMA_50,3.0,6941487.661410259,0.8333476750034519,-0.5696525200316175,1.3142883713470053,1.8476992928161684,0.6666666666666666,21
85,swing,50,5.0,EMA_50,2.0,4368613.939320395,0.7159131910850127,-0.43929401972999654,1.510310854226055,2.0950384399503426,0.7272727272727273,22
37,swing,20,5.0,EMA_50,2.0,2467064.224592832,0.581317741123049,-0.4391913898950136,1.2807506826766428,1.7957056849407638,0.6666666666666666,21
15,swing,20,2.5,EMA_50,4.0,2408283.157583254,0.5758758099874848,-0.8693936046689723,0.6124753770912712,0.821598013634572,0.5070422535211268,71
14,swing,20,2.5,EMA_50,3.0,1765422.4794199439,0.5074511133918671,-0.7681741707008689,0.6979550212733824,0.9341705562381061,0.5070422535211268,71
135,swing,100,5.0,EMA_50,4.0,1209719.7789768823,0.42815449899857905,-0.8443792663666309,0.5038356402527618,0.6334907441462738,0.4782608695652174,23
134,swing,100,5.0,EMA_50,3.0,1204108.7837629598,0.4272056557811297,-0.7245663034684285,0.642977003549763,0.8211378377569509,0.4782608695652174,23
111,swing,100,2.5,EMA_50,4.0,1004577.4737019702,0.39071625948144706,-0.8831686505354842,0.44994659317451996,0.6478571804448855,0.5076923076923077,65
13,swing,20,2.5,EMA_50,2.0,957219.9043581387,0.38114896064344705,-0.6097304449172877,0.7557148867869279,1.0050099469828633,0.5070422535211268,71
70,swing,50,2.5,None,3.0,872538.5922222072,0.3629811817047437,-0.9346229674037376,0.4539877171584877,0.722521863801783,0.45977011494252873,87
84,swing,50,5.0,EMA_50,1.0,860589.3634553008,0.36029702837782573,-0.2641332067952331,1.353142040127813,1.8053772426251014,0.7272727272727273,22
133,swing,100,5.0,EMA_50,2.0,855739.2204147446,0.3591984200152831,-0.5578171614306557,0.7610731667160291,0.9866471641623933,0.4782608695652174,23
71,swing,50,2.5,None,4.0,829260.1959069911,0.3531048078421122,-0.9771512327584205,0.3424186028868788,0.5458889374924316,0.45977011494252873,87
110,swing,100,2.5,EMA_50,3.0,817718.5413644838,0.3503964070505792,-0.78972986265995,0.520239007199924,0.741259925473283,0.5076923076923077,65
90,swing,50,5.0,SMA_200,3.0,679555.1854897046,0.31513603669482615,-0.869326223206726,0.46487506479604845,0.5890082874458498,0.46153846153846156,26
36,swing,20,5.0,EMA_50,1.0,636863.284372407,0.30299400754042294,-0.2643435530269223,1.2093209762227588,1.6815919441794216,0.6666666666666666,21
69,swing,50,2.5,None,2.0,635385.9733277855,0.30256149412914835,-0.82791516555469,0.5442064246844703,0.8580405729072615,0.45977011494252873,87
63,swing,50,2.5,EMA_50,4.0,632524.9718875999,0.30172142015671577,-0.8579945581466527,0.3342373103058336,0.43320685048687957,0.4782608695652174,69
27,swing,20,3.5,EMA_50,4.0,610580.2171950589,0.2951672200670745,-0.7857214433472185,0.3482894451978446,0.4968772616822839,0.4222222222222222,45
89,swing,50,5.0,SMA_200,2.0,609870.1705788146,0.29495180016624456,-0.722233886629366,0.6162282741377881,0.7965802676911937,0.46153846153846156,26
62,swing,50,2.5,EMA_50,3.0,602845.6268655747,0.2928089722888958,-0.7554226943849728,0.41919967443227996,0.5417243370872628,0.4782608695652174,69
26,swing,20,3.5,EMA_50,3.0,594590.6665624799,0.29026328422331216,-0.6591032730903562,0.43988579484097423,0.6256932713511089,0.4222222222222222,45
94,swing,50,5.0,None,3.0,561429.0212401699,0.2797214197065814,-0.7489870209333312,0.37042120471139045,0.5006144950865439,0.5,30
93,swing,50,5.0,None,2.0,540783.149913779,0.27288543586870984,-0.5903557709488402,0.5106764959095345,0.6997551752273881,0.5,30
109,swing,100,2.5,EMA_50,2.0,527489.027318313,0.2683643121336139,-0.6355748082062129,0.5730238428488695,0.8014673946921798,0.5076923076923077,65
91,swing,50,5.0,SMA_200,4.0,524600.3152581889,0.267369008476263,-0.9460004533018518,0.3060971658535648,0.38057382999388956,0.46153846153846156,26
118,swing,100,2.5,None,3.0,482396.576602518,0.2522644252416124,-0.933283031920644,0.3187710631002264,0.49093570601033837,0.4444444444444444,81
41,swing,20,5.0,SMA_200,2.0,468314.7333181981,0.24697207429446633,-0.722233886629366,0.5205215561423894,0.6541329558970053,0.375,24
42,swing,20,5.0,SMA_200,3.0,458111.97880746424,0.2430517103700367,-0.869326223206726,0.3615989289434791,0.44341169508468775,0.375,24
25,swing,20,3.5,EMA_50,2.0,454202.4547037484,0.241529640830612,-0.5077296440772797,0.5230742739787418,0.7392755953295035,0.4222222222222222,45
61,swing,50,2.5,EMA_50,2.0,440764.2599852185,0.2362107492061709,-0.5985720814326784,0.48755393622549154,0.6251353074923593,0.4782608695652174,69
117,swing,100,2.5,None,2.0,427115.47482994915,0.23066428778655612,-0.8298778993632717,0.4199552556624585,0.6414398323820399,0.4444444444444444,81
22,swing,20,2.5,None,3.0,425819.7643430957,0.23012988728938222,-0.9438655042666623,0.27537718897025387,0.4309615031022935,0.40860215053763443,93
132,swing,100,5.0,EMA_50,1.0,408014.75861869485,0.22264158578073356,-0.32685386482365114,0.853028924648626,1.1250877077773485,0.4782608695652174,23
137,swing,100,5.0,SMA_200,2.0,404702.2428369395,0.22121763010573536,-0.6828555026364752,0.46612236560128073,0.6076545958684815,0.44,25
138,swing,100,5.0,SMA_200,3.0,404336.87826174847,0.22105995929964584,-0.8360068660495492,0.3278374278537104,0.4191620701988745,0.44,25
21,swing,20,2.5,None,2.0,400345.1457577774,0.21932934991558728,-0.8440135883183638,0.3812005405218702,0.5916072590688349,0.40860215053763443,93
95,swing,50,5.0,None,4.0,390502.61427324824,0.214998090414654,-0.8542331885793654,0.22204927934453017,0.29564050829797883,0.5,30
119,swing,100,2.5,None,4.0,384899.97586165415,0.21249065765148045,-0.9750708958661877,0.2077993655914706,0.3208577493724466,0.4444444444444444,81
12,swing,20,2.5,EMA_50,1.0,370797.1329396466,0.20603770012391776,-0.3662740569428196,0.7756731264795907,1.015366665846623,0.5070422535211268,71
88,swing,50,5.0,SMA_200,1.0,353769.4642178124,0.19795998407231186,-0.4566106530326431,0.7502102949751218,0.9920817602900371,0.46153846153846156,26
141,swing,100,5.0,None,2.0,342619.72934878373,0.19248821790005488,-0.6850710723806999,0.34705494253196606,0.4721806205900092,0.4666666666666667,30
92,swing,50,5.0,None,1.0,332509.3480274671,0.1873929488649142,-0.35500508067727005,0.6381269560442642,0.8882303156124124,0.5,30
68,swing,50,2.5,None,1.0,313177.28763625654,0.17726895466517334,-0.5758267114762329,0.603244668169531,0.9305235202975974,0.45977011494252873,87
23,swing,20,2.5,None,4.0,312691.4572798508,0.17700770347000105,-0.9816067517677858,0.1623701872401958,0.2553611809646823,0.40860215053763443,93
40,swing,20,5.0,SMA_200,1.0,312233.89852960524,0.17676133679555028,-0.4566106530326431,0.6751566417344592,0.8735142146114485,0.375,24
43,swing,20,5.0,SMA_200,4.0,309851.3597664819,0.17547346646872453,-0.9460004533018518,0.20256338119814957,0.24297434405725252,0.375,24
18,swing,20,2.5,SMA_200,3.0,293033.9010270067,0.16613341240285795,-0.9129815686620849,0.22650287516790327,0.29288175992661364,0.44871794871794873,78
139,swing,100,5.0,SMA_200,4.0,292394.7445537953,0.16576946119132674,-0.9240267981470336,0.19047769834648887,0.2389397578423137,0.44,25
17,swing,20,2.5,SMA_200,2.0,284963.79815770476,0.16148727407416175,-0.7933326989363442,0.31774613301151844,0.40799404618219043,0.44871794871794873,78
136,swing,100,5.0,SMA_200,1.0,279660.3129629086,0.15837214933728672,-0.42505691190997763,0.6080897957575061,0.8120900309432335,0.44,25
