date,portfolio_value,cash
2026-07-06,100000.0,100.0
2026-07-07,98719.69,100.0
2026-07-08,97730.48,97730.48
2026-07-09,97730.48,97.73
2026-07-10,98291.53,97.73
2026-07-13,98203.96,97.73
2026-07-14,97644.25,97.73
2026-07-15,98228.48,97.73
2026-07-16,98062.9,97.73
2026-07-17,98510.65,97.73
2026-07-20,99223.32,97.73
2026-07-21,99688.34,97.73
2026-07-22,99062.03,97.73
2026-07-23,98898.19,98898.19
2026-07-24,98898.19,98898.19
2026-07-27,98898.19,98.9
2026-07-28,97078.03,98.9
2026-07-28,97077.35,96.39
