date,ticker,action,shares,price,value,regime,reason
2026-07-06,CUMMINSIND.NS,BUY,3.611315,5532.61,19980.0,Bullish,Momentum Buy
2026-07-06,BHARATFORG.NS,BUY,9.342124,2138.7,19980.0,Bullish,Momentum Buy
2026-07-06,FEDERALBNK.NS,BUY,60.490465,330.3,19980.0,Bullish,Momentum Buy
2026-07-06,NATIONALUM.NS,BUY,56.914971,351.05,19980.0,Bullish,Momentum Buy
2026-07-06,APARINDS.NS,BUY,1.394959,14323.0,19980.0,Bullish,Momentum Buy
2026-07-07,CUMMINSIND.NS,BUY,0.023482,5426.49,127.42,Bullish,Momentum Buy
2026-07-07,BHARATFORG.NS,SELL,0.001249,2111.6,2.64,Bullish,Momentum Buy
2026-07-07,FEDERALBNK.NS,SELL,0.999607,331.55,331.42,Bullish,Momentum Buy
2026-07-07,NATIONALUM.NS,BUY,0.66551,342.55,227.97,Bullish,Momentum Buy
2026-07-07,APARINDS.NS,SELL,0.001417,14154.0,20.06,Bullish,Momentum Buy
2026-07-08,CUMMINSIND.NS,SELL,3.634797,5453.27,19821.53,Bearish,Regime Switch
2026-07-08,BHARATFORG.NS,SELL,9.340875,2100.5,19620.51,Bearish,Regime Switch
2026-07-08,FEDERALBNK.NS,SELL,59.490858,326.55,19426.74,Bearish,Regime Switch
2026-07-08,NATIONALUM.NS,SELL,57.580482,349.75,20138.77,Bearish,Regime Switch
2026-07-08,APARINDS.NS,SELL,1.393542,13443.0,18733.38,Bearish,Regime Switch
2026-07-09,CUMMINSIND.NS,BUY,3.552682,5496.91,19528.76,Bullish,Momentum Buy
2026-07-09,BHARATFORG.NS,BUY,9.165851,2130.6,19528.76,Bullish,Momentum Buy
2026-07-09,FEDERALBNK.NS,BUY,59.584326,327.75,19528.76,Bullish,Momentum Buy
2026-07-09,NATIONALUM.NS,BUY,55.876289,349.5,19528.76,Bullish,Momentum Buy
2026-07-09,APARINDS.NS,BUY,1.387972,14070.0,19528.76,Bullish,Momentum Buy
2026-07-10,CUMMINSIND.NS,SELL,0.029818,5575.26,166.24,Bullish,Momentum Buy
2026-07-10,BHARATFORG.NS,BUY,0.11184,2117.0,236.77,Bullish,Momentum Buy
2026-07-10,FEDERALBNK.NS,SELL,0.039467,329.85,13.02,Bullish,Momentum Buy
2026-07-10,NATIONALUM.NS,SELL,0.526502,354.85,186.83,Bullish,Momentum Buy
2026-07-10,APARINDS.NS,BUY,0.00916,14058.0,128.76,Bullish,Momentum Buy
2026-07-13,CUMMINSIND.NS,BUY,0.039091,5509.3,215.36,Bullish,Momentum Buy
2026-07-13,BHARATFORG.NS,SELL,0.131583,2145.6,282.32,Bullish,Momentum Buy
2026-07-13,FEDERALBNK.NS,SELL,0.525641,332.5,174.78,Bullish,Momentum Buy
2026-07-13,NATIONALUM.NS,SELL,0.10235,355.2,36.35,Bullish,Momentum Buy
2026-07-13,APARINDS.NS,BUY,0.020063,13847.0,277.81,Bullish,Momentum Buy
2026-07-14,CUMMINSIND.NS,BUY,0.018938,5448.31,103.18,Bullish,Momentum Buy
2026-07-14,BHARATFORG.NS,BUY,0.057936,2119.7,122.81,Bullish,Momentum Buy
2026-07-14,FEDERALBNK.NS,BUY,0.552723,327.5,181.02,Bullish,Momentum Buy
2026-07-14,NATIONALUM.NS,SELL,1.781251,364.9,649.98,Bullish,Momentum Buy
2026-07-14,APARINDS.NS,BUY,0.017878,13595.0,243.05,Bullish,Momentum Buy
2026-07-15,CUMMINSIND.NS,SELL,0.013695,5503.85,75.37,Bullish,Momentum Buy
2026-07-15,BHARATFORG.NS,BUY,0.143376,2100.4,301.15,Bullish,Momentum Buy
2026-07-15,FEDERALBNK.NS,BUY,0.367976,327.55,120.53,Bullish,Momentum Buy
2026-07-15,NATIONALUM.NS,BUY,0.844518,361.5,305.29,Bullish,Momentum Buy
2026-07-15,APARINDS.NS,SELL,0.046185,14136.0,652.87,Bullish,Momentum Buy
2026-07-16,CUMMINSIND.NS,SELL,0.032665,5546.0,181.16,Bullish,Momentum Buy
2026-07-16,BHARATFORG.NS,SELL,0.033733,2104.7,71.0,Bullish,Momentum Buy
2026-07-16,FEDERALBNK.NS,BUY,0.080031,326.6,26.14,Bullish,Momentum Buy
2026-07-16,NATIONALUM.NS,BUY,0.99333,354.45,352.09,Bullish,Momentum Buy
2026-07-16,APARINDS.NS,SELL,0.008915,14205.0,126.64,Bullish,Momentum Buy
2026-07-17,CUMMINSIND.NS,BUY,0.08129,5448.0,442.87,Bullish,Momentum Buy
2026-07-17,BHARATFORG.NS,SELL,0.320762,2190.5,702.63,Bullish,Momentum Buy
2026-07-17,FEDERALBNK.NS,SELL,3.575818,349.0,1247.96,Bullish,Momentum Buy
2026-07-17,NATIONALUM.NS,BUY,2.651253,339.9,901.16,Bullish,Momentum Buy
2026-07-17,APARINDS.NS,BUY,0.043777,13836.0,605.7,Bullish,Momentum Buy
2026-07-20,CUMMINSIND.NS,SELL,0.012191,5506.0,67.12,Bullish,Momentum Buy
2026-07-20,BHARATFORG.NS,SELL,0.010762,2209.0,23.77,Bullish,Momentum Buy
2026-07-20,FEDERALBNK.NS,BUY,0.12493,350.75,43.82,Bullish,Momentum Buy
2026-07-20,NATIONALUM.NS,SELL,0.091191,342.9,31.27,Bullish,Momentum Buy
2026-07-20,APARINDS.NS,BUY,0.005451,13883.0,75.68,Bullish,Momentum Buy
2026-07-21,CUMMINSIND.NS,SELL,0.033508,5583.0,187.08,Bullish,Momentum Buy
2026-07-21,BHARATFORG.NS,BUY,0.070431,2201.8,155.08,Bullish,Momentum Buy
2026-07-21,FEDERALBNK.NS,SELL,0.58815,356.05,209.41,Bullish,Momentum Buy
2026-07-21,NATIONALUM.NS,BUY,0.263647,342.9,90.4,Bullish,Momentum Buy
2026-07-21,APARINDS.NS,BUY,0.010869,13841.0,150.43,Bullish,Momentum Buy
2026-07-22,NATIONALUM.NS,SELL,0.280936,342.4,96.19,Choppy,Momentum Buy
2026-07-22,APARINDS.NS,BUY,0.013103,13630.0,178.6,Bullish,Momentum Buy
2026-07-22,FEDERALBNK.NS,BUY,0.089143,353.25,31.49,Bullish,Momentum Buy
2026-07-22,CUMMINSIND.NS,SELL,0.024341,5586.0,135.97,Choppy,Momentum Buy
2026-07-22,BHARATFORG.NS,BUY,0.010204,2185.5,22.3,Bullish,Momentum Buy
