,Value
2021-07-07,100000.0
2021-07-08,99323.36108574212
2021-07-09,99812.99714889997
2021-07-12,100107.44712457314
2021-07-13,99858.32018369937
2021-07-14,100090.16576166623
2021-07-15,100024.82300929836
2021-07-16,100011.92121097156
2021-07-19,100253.99242916619
2021-07-20,100046.53625075167
2021-07-22,100332.40002612353
2021-07-23,100206.23267184317
2021-07-26,100443.17111001496
2021-07-27,100244.48866782145
2021-07-28,100599.79324720627
2021-07-29,101251.29693467772
2021-07-30,100642.32818510522
2021-08-02,101990.32821890124
2021-08-03,103113.29661297204
2021-08-04,102279.2796604735
2021-08-05,102793.11929752732
2021-08-06,102734.91759301441
2021-08-09,101540.34817746044
2021-08-10,100593.48603974674
2021-08-11,100403.30414089774
2021-08-12,100908.14390701854
2021-08-13,101293.66364718445
2021-08-16,102185.0564708726
2021-08-17,103783.41746878375
2021-08-18,104200.72310612125
2021-08-20,101578.44627209513
2021-08-23,100772.47651499636
2021-08-24,102100.80043955026
2021-08-25,101957.88115649846
2021-08-26,101756.83464089871
2021-08-27,102964.42065342156
2021-08-30,104906.05917084418
2021-08-31,106075.48664765368
2021-09-01,106587.57521560155
2021-09-02,107378.23988065122
2021-09-03,107795.52730747682
2021-09-06,107645.97339185687
2021-09-07,107352.31707601096
2021-09-08,107405.47151845183
2021-09-09,107402.71375289008
2021-09-13,108138.76663522971
2021-09-14,108217.20403411622
2021-09-15,109156.48093543679
2021-09-16,108818.54330925779
2021-09-17,107989.99043278156
2021-09-20,106309.45782612647
2021-09-21,106813.06108683173
2021-09-22,107067.60694223495
2021-09-23,108399.87274796623
2021-09-24,106891.23587524603
2021-09-27,106194.29030993965
2021-09-28,105780.75220044689
2021-09-29,106121.65990450558
2021-09-30,106443.59786536952
2021-10-01,106123.30550227602
2021-10-04,107202.54941040288
2021-10-05,108042.17546307051
2021-10-06,106239.86139885776
2021-10-07,108941.92322553897
2021-10-08,109447.97809065832
2021-10-11,109634.85905989341
2021-10-12,110472.16081919713
2021-10-13,111110.29550317061
2021-10-14,111696.19866125751
2021-10-18,112141.69289594438
2021-10-19,110123.64902999486
2021-10-20,108053.67052698947
2021-10-21,106533.18031453823
2021-10-22,105664.55244426744
2021-10-25,105075.46675944387
2021-10-26,106584.46535326587
2021-10-27,106313.3714212657
2021-10-28,104178.5688576599
2021-10-29,103957.71556747936
2021-11-01,105712.76960900702
2021-11-02,106841.65997476302
2021-11-03,106896.82736785368
2021-11-04,107552.5585782098
2021-11-08,108866.30652803373
2021-11-09,109621.42499096562
2021-11-10,109280.10674364248
2021-11-11,109325.33352828691
2021-11-12,110357.3687618679
2021-11-15,110309.12342270435
2021-11-16,110199.28338735848
2021-11-17,109922.51014688383
2021-11-18,108536.52708347993
2021-11-22,105471.25180860904
2021-11-23,106115.73420659796
2021-11-24,105911.31076362134
2021-11-25,105989.61461316294
2021-11-26,106443.68514561448
2021-11-29,106251.52578893636
2021-11-30,106423.0701742376
2021-12-01,106515.19339954229
2021-12-02,106254.92445326157
2021-12-03,106139.97361006476
2021-12-06,105963.7085252056
2021-12-07,106060.43131243777
2021-12-08,105945.98057262163
2021-12-09,105985.77374511719
2021-12-10,106405.89990573202
2021-12-13,106395.06615036627
2021-12-14,106270.86772950833
2021-12-15,106391.54091781659
2021-12-16,106270.73759885224
2021-12-17,106213.94933722554
2021-12-20,106176.80009145131
2021-12-21,106254.38772383878
2021-12-22,106343.39046380587
2021-12-23,106372.72871266029
2021-12-24,106284.0183472826
2021-12-27,106195.7953630767
2021-12-28,106301.82482823028
2021-12-29,106086.29914586787
2021-12-30,105801.66198839754
2021-12-31,105614.80947186676
