,Value
2011-07-07,100000.0
2011-07-08,99022.67008610525
2011-07-11,98518.39511658925
2011-07-12,97217.07640312552
2011-07-13,97217.07640312552
2011-07-15,97619.45332173805
2011-07-18,97296.3739212726
2011-07-19,98238.87657162602
2011-07-20,97532.59605776687
2011-07-21,96733.85742030384
2011-07-22,96733.85742030384
2011-07-25,97848.5303294471
2011-07-26,96391.94997097363
2011-07-27,96807.73471040744
2011-07-28,96807.73471040744
2011-07-29,96807.73471040744
2011-08-01,96807.73471040744
2011-08-02,96807.73471040744
2011-08-03,96807.73471040744
2011-08-04,96807.73471040744
2011-08-05,96807.73471040744
2011-08-08,96807.73471040744
2011-08-09,96807.73471040744
2011-08-10,96807.73471040744
2011-08-11,96807.73471040744
2011-08-12,96807.73471040744
2011-08-16,96807.73471040744
2011-08-17,96807.73471040744
2011-08-18,96807.73471040744
2011-08-19,96807.73471040744
2011-08-22,96807.73471040744
2011-08-23,96807.73471040744
2011-08-24,96807.73471040744
2011-08-25,96807.73471040744
2011-08-26,96807.73471040744
2011-08-29,96807.73471040744
2011-08-30,96807.73471040744
2011-09-02,96807.73471040744
2011-09-05,96807.73471040744
2011-09-06,96807.73471040744
2011-09-07,96807.73471040744
2011-09-08,96807.73471040744
2011-09-09,96807.73471040744
2011-09-12,96807.73471040744
2011-09-13,96807.73471040744
2011-09-14,96807.73471040744
2011-09-15,96807.73471040744
2011-09-16,96807.73471040744
2011-09-19,96807.73471040744
2011-09-20,96807.73471040744
2011-09-21,96807.73471040744
2011-09-22,96807.73471040744
2011-09-23,96807.73471040744
2011-09-26,96807.73471040744
2011-09-27,96807.73471040744
2011-09-28,96807.73471040744
2011-09-29,96807.73471040744
2011-09-30,96807.73471040744
2011-10-03,96807.73471040744
2011-10-04,96807.73471040744
2011-10-05,96807.73471040744
2011-10-07,96807.73471040744
2011-10-10,96807.73471040744
2011-10-11,96807.73471040744
2011-10-12,96807.73471040744
2011-10-13,96469.73543603823
2011-10-14,97091.750598729
2011-10-17,96494.75117055098
2011-10-18,95049.73712316493
2011-10-19,95049.73712316493
2011-10-20,94523.31134991707
2011-10-21,94314.69199528934
2011-10-24,94314.69199528934
2011-10-25,95186.26700090844
2011-10-28,97251.85492618987
2011-10-31,97090.76887467694
2011-11-01,96310.61998125429
2011-11-02,96433.4329807413
2011-11-03,96523.21753498529
2011-11-04,96850.83433297784
2011-11-08,97137.34092010591
2011-11-09,95915.29462874976
2011-11-11,95945.93112339631
2011-11-14,95132.12418572139
2011-11-15,93557.87364347876
2011-11-16,93557.87364347876
2011-11-17,93685.5192953356
2011-11-18,93848.62400432111
2011-11-21,94206.0715221849
2011-11-22,94906.72316226734
2011-11-23,95819.91467042959
2011-11-25,97782.51462753864
2011-11-28,98178.03407598456
2011-11-29,98400.4821306539
2011-11-30,99516.88860450707
2011-12-01,100564.18765426439
2011-12-02,100906.35937079949
2011-12-05,100685.09203960742
2011-12-07,100459.88612583211
2011-12-08,98830.4666778456
2011-12-09,99410.19136385269
2011-12-12,99872.96552205346
2011-12-13,100340.22238889316
2011-12-14,101015.87715046562
2011-12-15,103288.46187314366
2011-12-16,105489.41809956997
2011-12-19,105642.3737974815
2011-12-20,106248.74256290156
2011-12-21,106758.6192362645
2011-12-22,107336.3252303925
2011-12-23,108221.09844509004
2011-12-27,108752.26029238416
2011-12-28,109428.6544798989
2011-12-29,109983.36511192004
2011-12-30,110475.65694929665
2012-01-03,111911.81959492523
2012-01-04,112511.66010695914
2012-01-05,112642.1187298141
2012-01-06,113055.30881791249
2012-01-09,113835.92488195992
2012-01-10,114054.32230339848
2012-01-11,114705.35089410521
2012-01-12,114470.43590004976
2012-01-13,115494.30009066424
2012-01-16,115231.69026705303
2012-01-17,117578.38634994405
2012-01-18,116917.35540027019
2012-01-19,117771.15480848508
2012-01-20,116942.81102096844
2012-01-23,116979.59684560988
2012-01-24,117829.1169133576
2012-01-25,118656.20985016569
2012-01-27,119609.94783424647
2012-01-30,116734.0743000458
2012-01-31,118750.78950128723
2012-02-01,119936.47578108996
2012-02-02,120252.60924223962
2012-02-03,121633.88494384628
2012-02-06,123301.65970103293
2012-02-07,122034.13097136772
2012-02-08,123146.58980646681
2012-02-09,124192.34828594793
2012-02-10,123880.70987215257
2012-02-13,123468.38929689434
2012-02-14,123866.15853277768
2012-02-15,127078.14628978391
2012-02-16,127478.89943873578
2012-02-17,128738.72715942076
2012-02-21,129958.33841191977
2012-02-22,125862.7194091066
2012-02-23,125391.44388867992
2012-02-24,124538.28878003493
2012-02-27,121127.1395524786
2012-02-28,123378.1547603828
2012-02-29,123998.67681578975
2012-03-01,123020.82265986099
2012-03-02,123855.21496997742
2012-03-05,121625.88496712764
2012-03-06,120230.6008352782
2012-03-07,119494.74726092703
2012-03-09,123274.28866028154
2012-03-12,124640.17167714008
2012-03-13,126190.06261049685
2012-03-14,127285.7563886414
2012-03-15,124933.17490023807
2012-03-16,122944.01747857728
2012-03-19,121555.17181319991
2012-03-20,122854.60402200381
2012-03-21,125459.48141983578
2012-03-22,121998.03550441406
2012-03-23,122423.82582178466
2012-03-26,120312.11044366486
2012-03-27,121191.96320004808
2012-03-28,121839.61022382032
2012-03-29,122219.46144821431
2012-03-30,122521.42702340982
2012-04-02,122998.14245696124
2012-04-03,123574.82493254292
2012-04-04,122894.73977546295
2012-04-09,120921.07534856944
2012-04-10,121196.25779103368
2012-04-11,121519.298168295
2012-04-12,121624.15192207614
2012-04-13,121594.69105605918
2012-04-16,121636.50181860346
2012-04-17,121676.72180156395
2012-04-18,122588.03507381068
2012-04-19,123537.95350207857
2012-04-20,123047.69794283443
2012-04-23,121387.43773228012
2012-04-24,121602.83018997888
2012-04-25,121588.95935195441
2012-04-26,122294.46338237412
2012-04-27,122759.4214832846
2012-04-30,123380.15470816052
2012-05-02,124287.80867235364
2012-05-03,124358.47012379955
2012-05-04,124482.93332306603
2012-05-07,125524.6800701961
2012-05-08,126253.27895212313
2012-05-09,126916.67082989497
2012-05-10,127062.55253985178
2012-05-11,127485.04282035778
