,Value
2021-07-07,100000.0
2021-07-08,99345.88952017578
2021-07-09,99860.68320751261
2021-07-12,100211.36106233628
2021-07-13,100186.4560526362
2021-07-14,100376.17823011152
2021-07-15,100427.25730939045
2021-07-16,100331.145518279
2021-07-19,100349.37151166941
2021-07-20,99680.35626455618
2021-07-22,100651.25650097006
2021-07-23,100534.74588529344
2021-07-26,100750.48765106931
2021-07-27,100542.61003896114
2021-07-28,100837.92449449726
2021-07-29,101479.7333451868
2021-07-30,101270.9952114378
2021-08-02,102624.77749879949
2021-08-03,103604.68321494973
2021-08-04,102855.53688520758
2021-08-05,103378.89039191374
2021-08-06,103426.89615801965
2021-08-09,102396.85557152494
2021-08-10,101451.42948259567
2021-08-11,101290.19975302485
2021-08-12,101816.01749667479
2021-08-13,102326.7697002896
2021-08-16,103023.86355052983
2021-08-17,104196.76892872219
2021-08-18,104504.20187443617
2021-08-20,102211.85691836619
2021-08-23,101571.75092218912
2021-08-24,103003.01920582794
2021-08-25,102667.24000832894
2021-08-26,102436.28414313078
2021-08-27,103615.82696811462
2021-08-30,105536.04754263841
2021-08-31,106564.24467224232
2021-09-01,107046.18674730614
2021-09-02,108000.79500890052
2021-09-03,108514.88678777749
2021-09-06,108456.82601648924
2021-09-07,108287.15942796315
2021-09-08,108297.4955139988
2021-09-09,108233.98441658964
2021-09-13,108881.80385915979
2021-09-14,109039.749607634
2021-09-15,109954.51002235335
2021-09-16,109985.09324442952
2021-09-17,109399.05430538316
2021-09-20,107485.6587695038
2021-09-21,108062.25930501765
2021-09-22,108450.97703081784
2021-09-23,109769.94763468191
2021-09-24,108552.839372425
2021-09-27,108143.54667729596
2021-09-28,107585.8418443919
2021-09-29,107967.53315354034
2021-09-30,108181.98813314298
2021-10-01,107964.53083198967
2021-10-04,109290.0962325549
2021-10-05,109906.0031997855
2021-10-06,108113.10442293283
2021-10-07,110107.83618941625
2021-10-08,110429.04964073087
2021-10-11,111155.72970444254
2021-10-12,111852.8942030506
2021-10-13,112462.18902568777
2021-10-14,112836.81749127196
2021-10-18,113300.38131005115
2021-10-19,111430.5458820449
2021-10-20,109381.48562319517
2021-10-21,108344.66485335813
2021-10-22,107462.88377689212
2021-10-25,106772.75773872595
2021-10-26,108522.52147231778
2021-10-27,108341.41128840482
2021-10-28,106040.46338752414
2021-10-29,105874.20782525047
2021-11-01,108066.88015181801
2021-11-02,109265.21910144146
2021-11-03,109374.11919955777
2021-11-04,110017.8385350287
2021-11-08,111349.86746559083
2021-11-09,112171.44768563694
2021-11-10,111854.56867338026
2021-11-11,111725.28618581351
2021-11-12,112868.02879554237
2021-11-15,112819.999234243
2021-11-16,112780.72053436284
2021-11-17,112413.95272482009
2021-11-18,110888.64736581719
2021-11-22,107727.80369785964
2021-11-23,108371.26988714609
2021-11-24,108183.5320256611
2021-11-25,108121.54498036903
2021-11-26,108400.89148603787
2021-11-29,108103.00239463084
2021-11-30,108393.53374402942
2021-12-01,108407.55798867246
2021-12-02,108214.76338471098
2021-12-03,108161.0358137886
2021-12-06,107827.97672512656
2021-12-07,107845.31992249656
2021-12-08,107684.42634262353
2021-12-09,107674.74577488056
2021-12-10,107443.93515253697
2021-12-13,107325.46041447371
2021-12-14,107277.61344157161
